,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
0,Reinhardt,TANK,10.08,49.85,2.75,7.33,XBL,All,2019-04-22 18:54:56
1,Moira,SUPPORT,7.4,51.0,2.55,9.59,XBL,All,2019-04-22 18:54:56
2,Mercy,SUPPORT,6.57,49.88,2.64,1.8,XBL,All,2019-04-22 18:54:56
3,Lúcio,SUPPORT,6.18,52.36,2.18,13.16,XBL,All,2019-04-22 18:54:56
4,D.Va,TANK,5.64,51.49,2.34,7.84,XBL,All,2019-04-22 18:54:56
5,Baptiste,SUPPORT,5.04,49.11,2.47,11.99,XBL,All,2019-04-22 18:54:56
6,Zarya,TANK,4.44,48.85,2.47,10.05,XBL,All,2019-04-22 18:54:56
7,Orisa,TANK,4.27,55.28,2.6,8.85,XBL,All,2019-04-22 18:54:56
8,Ana,SUPPORT,4.04,47.95,2.35,9.26,XBL,All,2019-04-22 18:54:56
9,Roadhog,TANK,3.89,50.91,1.95,10.07,XBL,All,2019-04-22 18:54:56
10,Hanzo,DAMAGE,3.3,48.7,2.39,13.74,XBL,All,2019-04-22 18:54:56
11,Wrecking Ball,TANK,3.03,50.96,1.97,3.25,XBL,All,2019-04-22 18:54:56
12,Junkrat,DAMAGE,2.92,51.66,3.05,11.79,XBL,All,2019-04-22 18:54:56
13,Genji,DAMAGE,2.88,48.41,2.07,10.1,XBL,All,2019-04-22 18:54:56
14,Reaper,DAMAGE,2.83,51.06,2.12,17.09,XBL,All,2019-04-22 18:54:56
15,Zenyatta,SUPPORT,2.75,52.69,2.37,6.81,XBL,All,2019-04-22 18:54:56
16,McCree,DAMAGE,2.65,47.63,1.93,11.07,XBL,All,2019-04-22 18:54:56
17,Widowmaker,DAMAGE,2.59,48.79,2.01,9.16,XBL,All,2019-04-22 18:54:56
18,Soldier: 76,DAMAGE,2.46,50.16,1.99,11.47,XBL,All,2019-04-22 18:54:56
19,Ashe,DAMAGE,2.17,51.42,2.28,10.01,XBL,All,2019-04-22 18:54:56
20,Brigitte,SUPPORT,1.88,54.84,2.13,11.78,XBL,All,2019-04-22 18:54:56
21,Torbjörn,DAMAGE,1.71,56.12,2.75,9.74,XBL,All,2019-04-22 18:54:56
22,Winston,TANK,1.64,48.11,1.66,5.48,XBL,All,2019-04-22 18:54:56
23,Sombra,DAMAGE,1.64,46.04,2.31,14.32,XBL,All,2019-04-22 18:54:56
24,Symmetra,DAMAGE,1.61,57.4,3.06,10.08,XBL,All,2019-04-22 18:54:56
25,Tracer,DAMAGE,1.48,47.48,1.74,8.54,XBL,All,2019-04-22 18:54:56
26,Mei,DAMAGE,1.48,51.97,2.49,10.75,XBL,All,2019-04-22 18:54:56
27,Doomfist,DAMAGE,1.32,50.9,1.54,8.4,XBL,All,2019-04-22 18:54:56
28,Pharah,DAMAGE,1.17,48.61,2.3,10.65,XBL,All,2019-04-22 18:54:56
29,Bastion,DAMAGE,0.94,50.64,3.26,15.74,XBL,All,2019-04-22 18:54:56
30,Moira,SUPPORT,13.56,44.36,1.3,7.02,XBL,Bronze,2019-04-22 18:54:56
31,Mercy,SUPPORT,9.13,42.54,2.2,1.08,XBL,Bronze,2019-04-22 18:54:56
32,D.Va,TANK,8.18,48.9,1.85,6.38,XBL,Bronze,2019-04-22 18:54:56
33,Orisa,TANK,6.09,53.22,3.72,5.87,XBL,Bronze,2019-04-22 18:54:56
34,Lúcio,SUPPORT,5.79,35.4,1.74,7.56,XBL,Bronze,2019-04-22 18:54:56
